sample_id,ref_kw,base_hits,trained_hits,cov_base,cov_trained,delta
sample_000109,27,11,2,0.4074074074074074,0.07407407407407407,-0.3333333333333333
sample_000110,13,0,0,0.0,0.0,0.0
sample_000111,41,22,16,0.5365853658536586,0.3902439024390244,-0.14634146341463417
sample_000112,27,3,12,0.1111111111111111,0.4444444444444444,0.3333333333333333
sample_000113,30,12,15,0.4,0.5,0.09999999999999998
sample_000114,73,40,41,0.547945205479452,0.5616438356164384,0.013698630136986356
sample_000115,32,1,15,0.03125,0.46875,0.4375
sample_000116,66,37,45,0.5606060606060606,0.6818181818181818,0.12121212121212122
sample_000117,48,28,24,0.5833333333333334,0.5,-0.08333333333333337
sample_000118,26,6,7,0.23076923076923078,0.2692307692307692,0.038461538461538436
sample_000119,36,10,16,0.2777777777777778,0.4444444444444444,0.16666666666666663
sample_000120,59,3,28,0.05084745762711865,0.4745762711864407,0.423728813559322
sample_000121,13,2,0,0.15384615384615385,0.0,-0.15384615384615385
sample_000122,65,23,23,0.35384615384615387,0.35384615384615387,0.0
sample_000123,39,21,16,0.5384615384615384,0.41025641025641024,-0.1282051282051282
sample_000124,11,3,3,0.2727272727272727,0.2727272727272727,0.0
sample_000125,11,0,0,0.0,0.0,0.0
sample_000126,19,0,9,0.0,0.47368421052631576,0.47368421052631576
sample_000127,40,13,13,0.325,0.325,0.0
sample_000128,17,3,6,0.17647058823529413,0.35294117647058826,0.17647058823529413
sample_000129,11,0,0,0.0,0.0,0.0
sample_000130,20,5,3,0.25,0.15,-0.1
sample_000131,34,16,25,0.47058823529411764,0.7352941176470589,0.26470588235294124
sample_000132,11,0,0,0.0,0.0,0.0
sample_000133,33,8,12,0.24242424242424243,0.36363636363636365,0.12121212121212122
sample_000134,52,23,23,0.4423076923076923,0.4423076923076923,0.0
sample_000135,33,10,16,0.30303030303030304,0.48484848484848486,0.18181818181818182
sample_000136,33,15,14,0.45454545454545453,0.42424242424242425,-0.030303030303030276
sample_000137,30,11,13,0.36666666666666664,0.43333333333333335,0.06666666666666671
sample_000138,11,3,3,0.2727272727272727,0.2727272727272727,0.0
sample_000139,71,15,30,0.2112676056338028,0.4225352112676056,0.2112676056338028
sample_000140,51,30,26,0.5882352941176471,0.5098039215686274,-0.07843137254901966
sample_000141,11,1,2,0.09090909090909091,0.18181818181818182,0.09090909090909091
sample_000142,18,6,10,0.3333333333333333,0.5555555555555556,0.22222222222222227
sample_000143,36,5,14,0.1388888888888889,0.3888888888888889,0.25
sample_000144,11,1,0,0.09090909090909091,0.0,-0.09090909090909091
sample_000145,29,10,14,0.3448275862068966,0.4827586206896552,0.13793103448275862
sample_000146,30,10,7,0.3333333333333333,0.23333333333333334,-0.09999999999999998
sample_000147,53,19,26,0.3584905660377358,0.49056603773584906,0.13207547169811323
sample_000148,17,0,0,0.0,0.0,0.0
sample_000149,57,21,25,0.3684210526315789,0.43859649122807015,0.07017543859649122
sample_000150,27,9,9,0.3333333333333333,0.3333333333333333,0.0
sample_000151,24,12,13,0.5,0.5416666666666666,0.04166666666666663
sample_000152,27,1,11,0.037037037037037035,0.4074074074074074,0.37037037037037035
sample_000153,70,24,30,0.34285714285714286,0.42857142857142855,0.08571428571428569
sample_000154,11,0,1,0.0,0.09090909090909091,0.09090909090909091
sample_000155,44,21,15,0.4772727272727273,0.3409090909090909,-0.1363636363636364
sample_000156,23,7,8,0.30434782608695654,0.34782608695652173,0.04347826086956519
sample_000157,32,15,20,0.46875,0.625,0.15625
sample_000158,32,2,7,0.0625,0.21875,0.15625
sample_000159,41,10,24,0.24390243902439024,0.5853658536585366,0.3414634146341463
sample_000160,27,2,6,0.07407407407407407,0.2222222222222222,0.14814814814814814
sample_000161,30,4,18,0.13333333333333333,0.6,0.4666666666666667
sample_000162,52,16,27,0.3076923076923077,0.5192307692307693,0.21153846153846156
sample_000163,32,7,10,0.21875,0.3125,0.09375
sample_000164,35,17,15,0.4857142857142857,0.42857142857142855,-0.05714285714285716
sample_000165,44,14,24,0.3181818181818182,0.5454545454545454,0.22727272727272724
sample_000166,51,10,27,0.19607843137254902,0.5294117647058824,0.33333333333333337
sample_000167,44,19,19,0.4318181818181818,0.4318181818181818,0.0
sample_000168,28,2,10,0.07142857142857142,0.35714285714285715,0.2857142857142857
sample_000169,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000170,36,18,20,0.5,0.5555555555555556,0.05555555555555558
sample_000171,53,18,11,0.33962264150943394,0.20754716981132076,-0.13207547169811318
sample_000172,45,23,20,0.5111111111111111,0.4444444444444444,-0.06666666666666665
sample_000173,36,15,19,0.4166666666666667,0.5277777777777778,0.1111111111111111
sample_000174,63,43,37,0.6825396825396826,0.5873015873015873,-0.09523809523809523
sample_000175,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000176,43,11,19,0.2558139534883721,0.4418604651162791,0.18604651162790697
sample_000177,27,5,5,0.18518518518518517,0.18518518518518517,0.0
sample_000178,39,18,21,0.46153846153846156,0.5384615384615384,0.07692307692307687
sample_000179,42,2,2,0.047619047619047616,0.047619047619047616,0.0
sample_000180,36,10,18,0.2777777777777778,0.5,0.2222222222222222
sample_000181,28,1,2,0.03571428571428571,0.07142857142857142,0.03571428571428571
sample_000182,39,19,18,0.48717948717948717,0.46153846153846156,-0.025641025641025605
sample_000183,57,25,36,0.43859649122807015,0.631578947368421,0.19298245614035087
sample_000184,28,9,7,0.32142857142857145,0.25,-0.07142857142857145
sample_000185,22,4,11,0.18181818181818182,0.5,0.3181818181818182
sample_000186,37,17,20,0.4594594594594595,0.5405405405405406,0.08108108108108109
sample_000187,13,4,3,0.3076923076923077,0.23076923076923078,-0.07692307692307693
sample_000188,44,13,20,0.29545454545454547,0.45454545454545453,0.15909090909090906
sample_000189,13,0,0,0.0,0.0,0.0
sample_000190,53,23,25,0.4339622641509434,0.4716981132075472,0.037735849056603765
sample_000191,35,3,19,0.08571428571428572,0.5428571428571428,0.4571428571428571
sample_000192,11,1,1,0.09090909090909091,0.09090909090909091,0.0
sample_000193,56,21,28,0.375,0.5,0.125
sample_000194,11,0,1,0.0,0.09090909090909091,0.09090909090909091
sample_000195,53,18,21,0.33962264150943394,0.39622641509433965,0.0566037735849057
sample_000196,40,29,27,0.725,0.675,-0.04999999999999993
sample_000197,50,11,16,0.22,0.32,0.1
sample_000198,23,9,8,0.391304347826087,0.34782608695652173,-0.043478260869565244
sample_000199,32,14,13,0.4375,0.40625,-0.03125
sample_000200,37,20,24,0.5405405405405406,0.6486486486486487,0.10810810810810811
sample_000201,45,11,17,0.24444444444444444,0.37777777777777777,0.13333333333333333
sample_000202,30,4,8,0.13333333333333333,0.26666666666666666,0.13333333333333333
sample_000203,53,25,32,0.4716981132075472,0.6037735849056604,0.13207547169811318
sample_000204,52,26,30,0.5,0.5769230769230769,0.07692307692307687
sample_000205,24,1,7,0.041666666666666664,0.2916666666666667,0.25
sample_000206,52,21,26,0.40384615384615385,0.5,0.09615384615384615
sample_000207,29,8,8,0.27586206896551724,0.27586206896551724,0.0
sample_000208,38,11,14,0.2894736842105263,0.3684210526315789,0.0789473684210526
sample_000209,27,8,13,0.2962962962962963,0.48148148148148145,0.18518518518518517
sample_000210,31,13,13,0.41935483870967744,0.41935483870967744,0.0
sample_000211,37,15,14,0.40540540540540543,0.3783783783783784,-0.02702702702702703
